M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
M,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,F,F,F,F,F,F,F,F,F,F,F,M
M,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,F,F,O,O,F,F,M
M,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,F,F,M
M,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,F,M
M,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,F,M
M,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,M
M,O,O,,,,,,,,,,,,,,,I,I,,,,,,,,,,,,,,,,,,,O,O,M
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,M
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,M
M,,,,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,M
M,,,,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,M
M,,,,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,M
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
M,,,,,,,,I,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
M,,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,,,,,,,,,,,M
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,O,,,,,M
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,O,,,,,S
M,,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,,,,O,O,O,,,,,S
M,,,,,,,,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,S
M,,,,,,,,O,O,O,O,,,,I,I,,,,,O,O,O,O,,,,,,,,,,,,,,,S
M,,,,,,,,O,O,O,O,,,,,,,,,,O,O,O,O,,,,,,,,,,,,,,,M
M,,,,,,,,,,,,,,,,,,,,,O,O,O,O,,,,,,,,,,,,,,,M
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
M,,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,,,,,,,,,,,M
M,,,,,,,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,M
M,,,,,,,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,M
M,,,,O,O,O,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,M
M,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
M,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,O,O,O,,,,,,,,,M
M,,,,I,I,,,,,,,,,,,,,,,,,,,,,,,O,O,O,,,,,,,,,M
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,O,,,,,,,,,M
M,,,,,,,,,,,,,,,,,,,I,I,,,,,,,,,,,,,,,,,,,M
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
M,M,M,M,M,M,M,M,S,S,S,S,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
